m1_rpm,m2_rpm,m3_rpm,m4_rpm,temp_m1,temp_m2,temp_m3,temp_m4,volt_m1,volt_m2,volt_m3,volt_m4,x_camera,y_camera,Altitude,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,compass,roll,pitch,yaw,x_gps,y_gps,z_gps
12185.0,12528.0,12100.0,12600.0,44.0,44.0,44.0,44.0,11.34000015258789,11.329999923706055,10.960000038146973,11.3100004196167,4.226169586181641,-17.365785598754883,,-0.5687857000000001,-0.2157462999999989,9.0809579,0.009821481071412563,0.061916947364807136,0.06312299519777297,342.66,0.001725851558148861,0.08632992953062057,1.846696376800537,0.1582901030778885,4.892078399658203,2.117612600326538
12207.0,12528.0,12528.0,12263.0,44.0,44.0,46.0,45.0,11.4399995803833,11.34000015258789,11.300000190734863,11.319999694824219,4.226169586181641,-17.365785598754883,,-0.5687857000000001,-0.2157462999999989,9.0809579,0.009821481071412563,0.061916947364807136,0.06312299519777297,342.66,0.001725851558148861,0.08632992953062057,1.846696376800537,0.1582901030778885,4.892078399658203,2.117612600326538
12207.0,12528.0,12528.0,12263.0,44.0,44.0,46.0,45.0,11.4399995803833,11.34000015258789,11.300000190734863,11.319999694824219,4.226169586181641,-17.365785598754883,,-0.5687857000000001,-0.2157462999999989,9.0809579,0.009821481071412563,0.061916947364807136,0.06312299519777297,342.5,0.001725851558148861,0.08632992953062057,1.846696376800537,0.1582901030778885,4.892078399658203,2.117612600326538
12207.0,12528.0,12528.0,12263.0,44.0,44.0,46.0,45.0,11.4399995803833,11.34000015258789,11.300000190734863,11.319999694824219,3.7982521057128906,-13.410306930541992,,-0.5687857000000001,-0.2157462999999989,9.0809579,0.009821481071412563,0.061916947364807136,0.06312299519777297,342.29,0.0018072668462991714,0.21704496443271637,1.8736870288848877,0.22258146107196808,5.236025333404541,2.1406774520874023
12207.0,12528.0,12528.0,12263.0,44.0,44.0,46.0,45.0,11.4399995803833,11.34000015258789,11.300000190734863,11.319999694824219,3.7982521057128906,-13.410306930541992,,-0.5687857000000001,-0.2157462999999989,9.0809579,0.009821481071412563,0.061916947364807136,0.06312299519777297,342.29,0.0018072668462991714,0.21704496443271637,1.8736870288848877,0.26297685503959656,5.525315761566162,2.1593406200408936
12207.0,12528.0,12528.0,12263.0,44.0,44.0,46.0,45.0,11.4399995803833,11.34000015258789,11.300000190734863,11.319999694824219,1.7375291585922241,-12.910249710083008,,-0.5687857000000001,-0.2157462999999989,9.0809579,0.009821481071412563,0.061916947364807136,0.06312299519777297,342.47,0.0018072668462991714,0.21704496443271637,1.8736870288848877,0.26297685503959656,5.525315761566162,2.1593406200408936
12207.0,12528.0,12528.0,12263.0,44.0,44.0,46.0,45.0,11.4399995803833,11.34000015258789,11.300000190734863,11.319999694824219,1.7375291585922241,-12.910249710083008,,-0.5687857000000001,-0.2157462999999989,9.0809579,0.009821481071412563,0.061916947364807136,0.06312299519777297,343.08,0.0018072668462991714,0.21704496443271637,1.8736870288848877,0.3333774209022522,5.856500625610352,2.186530113220215
12207.0,12528.0,12528.0,12263.0,44.0,44.0,46.0,45.0,11.4399995803833,11.34000015258789,11.300000190734863,11.319999694824219,1.7375291585922241,-12.910249710083008,,-0.5687857000000001,-0.2157462999999989,9.0809579,0.009821481071412563,0.061916947364807136,0.06312299519777297,343.08,0.0018072668462991714,0.21704496443271637,1.8736870288848877,0.38613447546958923,6.19932746887207,2.2134885787963867
12207.0,12528.0,12528.0,12263.0,44.0,44.0,46.0,45.0,11.4399995803833,11.34000015258789,11.300000190734863,11.319999694824219,0.7389816045761108,-10.454266548156738,,-0.77472535,-0.24516624999999886,9.44380395,-0.1536673605442047,-0.26415297389030457,-0.0905693098902702,343.78,0.0018072668462991714,0.21704496443271637,1.8736870288848877,0.38613447546958923,6.19932746887207,2.2134885787963867
12614.0,12585.0,12212.0,12555.0,44.0,44.0,46.0,45.0,11.380000114440918,11.329999923706055,11.40999984741211,11.869999885559082,1.6861259937286377,-12.537175178527832,,-0.77472535,-0.24516624999999886,9.44380395,-0.1536673605442047,-0.26415297389030457,-0.0905693098902702,343.78,0.0018072668462991714,0.21704496443271637,1.8736870288848877,0.4574699103832245,6.544482707977295,2.248286247253418
